objectid,facilityname,facilitytype,landline,address,street,landmark,locality,subdistrict,district,state,posatalcode,country,geometry,index_right,ward_lgd_code,ward_lgd_name,sourcewardname,sourcewardcode
188610,Ramol UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382449,India,POINT (72.65231999955114 22.97540299984409),4.0,1302548.0,"Ramol Hathijan, Ahmedabad (M.Corp.) Ward No. 48",Ramol Hathijan,48
188611,Vastral  UPHC,Primary Health Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382449,India,POINT (72.70144499968393 22.977100000170775),,,,,
188612,Sarkhej  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382210,India,POINT (72.50005099994281 22.978386999906306),16.0,1302533.0,"Vejalpur, Ahmedabad (M.Corp.) Ward No. 33",Sarkhej,33
188615,Bage Firdosh  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380026,India,POINT (72.63085099998091 22.98921399961222),38.0,1302542.0,"Indrapuri, Ahmedabad (M.Corp.) Ward No. 42",Indrapuri,42
188618,Bhaipura UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380026,India,POINT (72.6289629999685 22.99507800001427),46.0,1302543.0,"Bhaipura Hatkeswar, Ahmedabad (M.Corp.) Ward No. 43",Bhaipura Hatkeshwar,43
188619,Danilimbda  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380028,India,POINT (72.58340999964605 22.99568999987569),44.0,1302536.0,"Danilimda, Ahmedabad (M.Corp.) Ward No. 36",Danilimda,36
188620,Baherampura  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380022,India,POINT (72.57599999988662 22.996279999896434),31.0,1302535.0,"Baherampura, Ahmedabad (M.Corp.) Ward No. 35",Baherampura,35
188622,Khokhara UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380008,India,POINT (72.61964199973208 22.99954900035853),40.0,1302544.0,"Khokhra, Ahmedabad (M.Corp.) Ward No. 44",Khokhra,44
188623,L G Hospital Ahemedabad medical colleage,STH,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380008,India,POINT (72.60548800038508 22.999757999947715),33.0,1302537.0,"Maninagar, Ahmedabad (M.Corp.) Ward No. 37",Mani Nagar,37
188624,Dhamatvan,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382418,India,POINT (72.72407251964515 22.9537785201523),,,,,
188629,Bhavda,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382433,India,POINT (72.76951807966302 22.971329770203717),,,,,
188634,Vansva,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.10650188030702 22.97485862010335),,,,,
