day_of_year,n_samples,utci_mean,utci_p50,utci_p90,utci_p95,utci_p98,utci_sd,night_temp_mean
237,450,34.84,35.0,38.5,39.55,40.4,3.07,25.87
238,450,34.87,35.0,38.7,39.6,40.6,3.12,25.85
239,450,34.91,35.0,38.71,39.8,40.7,3.16,25.84
240,450,34.96,35.1,38.8,39.8,40.7,3.16,25.83
241,450,35.1,35.2,39.1,39.85,40.8,3.15,25.82
242,450,35.16,35.2,39.2,39.95,40.9,3.19,25.81
243,450,35.22,35.2,39.3,40.0,40.9,3.2,25.78
244,450,35.38,35.4,39.5,40.2,41.0,3.15,25.77
245,450,35.46,35.4,39.6,40.25,41.1,3.13,25.76
246,450,35.54,35.5,39.7,40.35,41.2,3.23,25.74
247,450,35.62,35.7,39.9,40.66,41.4,3.3,25.74
248,450,35.66,35.7,39.91,40.7,41.5,3.31,25.74
249,450,35.76,35.8,40.01,40.95,41.5,3.32,25.76
250,450,35.92,36.0,40.1,41.0,41.6,3.31,25.76
251,450,36.06,36.2,40.2,41.1,41.61,3.27,25.77
252,450,36.14,36.3,40.2,41.16,41.9,3.28,25.77
253,450,36.19,36.5,40.3,41.3,41.9,3.33,25.77
254,450,36.29,36.6,40.32,41.3,42.0,3.39,25.77
255,450,36.39,36.8,40.52,41.4,42.1,3.41,25.76
256,450,36.46,37.0,40.7,41.4,42.1,3.43,25.75
257,450,36.53,37.0,40.7,41.45,42.1,3.43,25.75
258,450,36.67,37.1,40.71,41.55,42.2,3.4,25.76
259,450,36.73,37.1,40.8,41.66,42.4,3.41,25.76
260,450,36.87,37.1,40.81,41.81,42.4,3.33,25.76
261,450,37.01,37.3,40.9,41.81,42.7,3.25,25.76
262,450,37.12,37.35,40.91,41.9,42.9,3.24,25.74
263,450,37.26,37.5,41.0,42.1,42.9,3.2,25.73
264,450,37.41,37.6,41.12,42.25,43.1,3.21,25.71
265,450,37.49,37.8,41.31,42.35,43.2,3.3,25.7
266,450,37.63,38.0,41.5,42.4,43.4,3.38,25.68
267,450,37.8,38.2,41.71,42.45,43.5,3.41,25.66
268,450,38.03,38.55,42.11,42.81,43.5,3.37,25.65
269,450,38.23,38.8,42.2,43.1,43.5,3.31,25.64
270,450,38.44,38.95,42.3,43.16,43.6,3.29,25.62
271,450,38.61,39.15,42.4,43.2,43.7,3.25,25.6
272,450,38.76,39.3,42.4,43.35,43.7,3.23,25.56
273,450,38.87,39.4,42.4,43.5,43.8,3.27,25.52
274,450,39.0,39.5,42.41,43.41,43.8,3.2,25.48
275,450,39.13,39.6,42.5,43.5,43.8,3.15,25.44
276,450,39.24,39.7,42.5,43.5,43.9,3.05,25.42
277,450,39.34,39.7,42.41,43.5,43.9,2.97,25.4
278,450,39.44,39.9,42.41,43.5,43.9,2.89,25.36
279,450,39.51,39.9,42.41,43.41,43.9,2.83,25.3
280,450,39.6,39.9,42.41,43.3,43.9,2.67,25.23
281,450,39.65,39.9,42.4,43.1,43.9,2.53,25.14
282,450,39.65,39.9,42.4,43.1,43.9,2.49,25.04
283,450,39.63,39.9,42.21,43.05,43.8,2.48,24.94
284,450,39.62,39.9,42.2,42.9,43.6,2.43,24.83
285,450,39.58,39.85,42.1,42.75,43.5,2.39,24.68
286,450,39.57,39.8,42.0,42.66,43.2,2.34,24.55
287,450,39.56,39.8,41.91,42.55,43.2,2.27,24.42
288,450,39.54,39.75,41.8,42.45,43.1,2.15,24.29
289,450,39.5,39.7,41.71,42.3,43.1,2.08,24.14
290,450,39.41,39.7,41.61,42.2,43.0,2.13,23.99
291,450,39.32,39.6,41.6,42.16,42.8,2.19,23.83
292,450,39.28,39.6,41.5,42.1,42.8,2.16,23.65
293,450,39.21,39.5,41.41,42.0,42.6,2.19,23.47
294,450,39.12,39.4,41.3,41.8,42.4,2.18,23.32
295,450,39.01,39.3,41.2,41.8,42.3,2.19,23.17
296,450,38.91,39.3,41.2,41.6,42.2,2.18,23.04
297,450,38.79,39.1,41.0,41.5,42.1,2.15,22.91
