facility_id,facility_name,description,latitude,longitude,kml_category
89,Krantivir Ishvarchandra Vidhyasagar Vyayam Vidhyalaya,"Opposite To Post Office,Kunda Vadi Chali,Gomtipur,Ahmedabad<br>New Name-Gomtipur Vyayam Shala",23.012583,72.609527,Municipal Gym
90,Prahladsinh Patel Vyayam Shala,"Opposite Rami Ni Chali,Rakhiyal,Ahmedabad<br>New Name-Rakhiyal Vyayam Shala",23.035111,72.613166,Municipal Gym
91,Pushpkunj Table Tennis,"Swimming Pool,Kankariya,Ahmedabad",23.00341,72.599756,Municipal Gym
92,Raipur Sports Sankul,"Opposite Kagdapith Police Station Raipur,Ahmedabad",23.018832,72.598224,Municipal Gym
93,Vir Savarkar Muni.Swimmingpool,"Vasna,Opp. Godawari Flats, B/h. Anjali Cinema, Vasna",23.004688,72.549721,Swimming Pools
94,Sardarpatel Stadium.Mui.Swimmingpool,"Nr. Stadium Circle, Navrangpura",23.040239000000003,72.564089,Swimming Pools
95,Shri Hirabhai Smarak Swimming Pool,"Kankariya,Opp. BRTS Bus Stop, Nr. Kankariya Lake, Kankariya, Maninagar",23.003289,72.599722,Swimming Pools
96,Padhmashri Jashubhai Patel Swimming Pool,"Nava Vadaj,Nr. Bhimjipura Bus Stop, Nava Vada",23.062967,72.567784,Swimming Pools
97,Krantivir Vitthalbhai Patel Swimming Pool,"Odhav,B/h. Ambika Nagar Fire Station, Nr. Water Tank, Odhav",23.029656,72.653553,Swimming Pools
98,Cricketer Shri Vinu Mankad Swimmingpool,"Ranip,Nr. Ambica Garden, B/S. Nishan School, Nirnaynagar Dhal",23.080086,72.563039,Swimming Pools
99,Hajipura Muni.Swimmingpool,"Hajipura,B/s. Lakhaji Kuvarji Chock Hall, B/h. Hajipura Garden, Madhupura",23.042245,72.591259,Swimming Pools
100,Shree Kantilal PhoolChand Dhiya Muni.Swimmingpool,"Sabarmati,Nr. Vima Yojna Dispensary, Nr. BSNL Office, Sabarmati",23.080616,72.592895,Swimming Pools
101,Shri Lalbhai Chababhai Patel Swimming Pool,"Khokhra,Opp. Vima Yojna Dispensary, B/s. Gajanand Flats, Khokhra",22.998788,72.616021,Swimming Pools
102,Asarva Swimming Pool,"Asarva,B/s. Khandubhai Desai Hall, Asarva",23.044968,72.602465,Swimming Pools
103,Shree Somnath Prabhashankar Dave Swimmingpool,"Saraspur,Potalia Cross Road, Saraspur",23.032808,72.613759,Swimming Pools
104,Shri Ramanbhai Lallubhai Swimming Pool,"Lal Darwaja,Nr. AMTS Bus Stop, Lal Darwaja",23.024223,72.577532,Swimming Pools
105,Swami Vivekanand Swimming Pool,"CTM,Opp. CTM Mill, Nr. CTM Cross Road, CTM",22.991581,72.633317,Swimming Pools
106,Shri Vasant Gajendra Gadkar Swimming Pool,"Sarangpur,B/h. Sarangpur Bus Stop, Sarangpur",23.021156,72.598587,Swimming Pools
107,Chandrakant Baxi Library,,23.06356,72.566632,library
108,"Kavi ramanlal vasantlal Desai,Nikol",,23.02553,72.643914,library
109,"V.N.Shah Library,Rakhiyal",,23.021774,72.623712,library
110,"B.N.Library,Raipur",,23.021184,72.594867,library
111,Dr.Shyama Prashad Mukharji,Dr.Shyama Prashad Mukharji Over Bridge Under 132 Foot RingRoad Vejalpur,23.011051,72.531455,library
112,GorvardhanrAM Tripathi Muni Library,Opp- Fire Briged RAMbaugh Maninagar,22.998323,72.602814,library
113,Jayotindra Dave Muni Library,Opp-lalakaka Holl Shahpur Ahmedabad,23.043314,72.580155,library
114,Patel.K.K.Muni Library,Naroda GAM Na Nake Ahmedabad,23.074475,72.656816,library
115,Swa.Lalbhai Kundivala Muni.Library,Opp- Anjuman High School Chipavad JAMalpur Ahmedabad,23.018496,72.586658,library
116,Chimanlal PurshottAMdas Gajjar Muni Library,Jivankadashi ni Pole Shahpur Ahmedabad,23.039086,72.581442,library
117,Dr. Babasaheb Ambedkar Muni.Library,Kundavadi achali GomtipurDarwaja Bahar Ahmedabad,23.012629,72.611697,library
118,Kavi Narmad Muni.Library,Hajipura Garden Madhupura Bardolpura Ahmedabad,23.04215,72.590986,library
119,Trithkar Udhyan Muni.Library,Trithkar Udhyan Opp-Rajashthan Hospital Ahmedabad,23.054098,72.59860400000001,library
120,Jethabhai Garden Muni.Library,Civil Hospital Ahmedabad,23.049959,72.600938,library
121,Ishawarlal Kachrabhai Parmar Muni.Library,Opp-Shreeji vidhyalaya Bapunagar Ahmedabad,23.036847,72.625689,library
122,Sakriben Chturbhai SINI.City.Muni.Library,Shahibaugh Dafnala Ahmedabad,23.057423,72.59872900000002,library
123,Kavi RAManlal Vashantbhai Desai Muni.Library,Opp-Krishnapark Tubevel Fa.Plot no28 Nikol Ahmedabad,22.975735,72.62043400000002,library
124,Chnadrkant Bakshi Muni.Library,Bh-Devpath Flat Arban Health Centre Nava Vadaj Ahmedabad,23.025995,72.635376,library
125,Kaniyalal NathurAM Bhil Muni.Library,Opp-Gurulrupa Pumping Station Kubernagar Ahmedabad,23.003244,72.57718,library
126,Umashankar Joshi Muni.Library,Opp- Circuit House Gayatri Temple Ahmedabad,23.023599,72.660854,library
127,Kaniyalal Maneklal Munshi Muni.Library,Swastik Char Rasta Muni.JimenshiyAM Opp- Bhilvadaroad Bhaipura Ahmedabad,23.036051,72.561231,library
128,K.K.Shastri Muni.Library,Dhrnidhar Derasar Char Rasta Paldi Ahmedabad,23.009309,72.548642,library
129,Narsinhrav divetiya Muni.Library,Opp-P.M.Ghyanmandir Mathur Master Char Rasta Amraivadi Ahmedabad,23.00949,72.62599,library
130,Kavi Suresh HariPrashad Joshi Muni.Library,Old-Maleriya Office Opp- Muni.School Khokhra Ahmedabad,23.001735,72.619468,library
131,Kaka Kalekar Muni.Library.,C.T.M.Char Rasta Ahmedabad.,22.9916,72.633214,library
132,Manishankar Ratanji Bhatt Muni Library,Opp-Bajkhedavala Society Khokhra Ahmedabad,22.992423,72.616269,library
133,Pannalal Patel Muni Library,Opp-Gomtipur Darwaja Ahmedabad,23.018207,72.614034,library
134,Dadabhai Navroji Muni Library,Opp-pankornaka Ahmedabad,23.023427,72.586131,library
135,Bhikhubhai Chavda Muni Library,Opp-liladharbhai Holl BehrAMbhai Ahmedabad,23.009209,72.586412,library
136,Koutilya Muni Library,Asarwa Chkla Asarwa Ahmedabad,23.043750000000003,72.605379,library
137,Mahatmagandhi Muni Library,RAMnagar Chok Sabarmati Ahmedabad,23.083412000000003,72.589849,library
138,Surendrabhai Patel (Daskaka) Muni Library,Astodiya Chakla Dhalni Pole,23.018021,72.59029,library
139,ShekhadAM Abuvala Muni Library,Opp-JAMalpur Pagthiya Tangarvad Ahmedabad,23.013067,72.582112,library
140,Shree RAManlal Nilkhanth Muni Library,Opp-Joshef School Rajpur Mansurini chali Ahmedabad,23.014005,72.607894,library
141,RA.B.GI.U.Muni.Library,Kalupur Muni.Gujarati SchoolnO-22 Khodi AAMbali Ahmedabad,23.02854,72.596316,library
142,Suny Palanpuri Muni Library,Sodaghar Ni Pole Opp-JAMalpur Darwaja Ahmedabad,23.013216,72.581516,library
143,Nanhalal Kavi Muni.Library,Opp-Parshi Agiyari Katodiya Ahmedabad,23.08003,72.589021,library
144,Radhakishan Sharma Muni.Library,Opp- Police Choki Ambavadi Sardarnagar Ahmedabad,23.081546,72.631235,library
145,Pandit Dindayal Upadhyay Muni.Library,Thakorvas Ghatlodiya AhAMedabad,23.067791,72.540531,library
146,Sheth Maneklal Jethalal Sanchalit Library,Elish Bridge-Ahmedabad,23.023358,72.570694,library
147,Sheth Maneklal Jethalal Sanchalit Library,Opp-Block No- 83 Gujarat hou.board Vijay nagar Naranpura,23.060112,72.549009,library
148,Ajit Bhagat Memorial Trust Library,Ajit Bhagat Memorial Trust Kalupur Ward No.2 Doshivada ni pole kalupur,23.028182,72.593716,library
149,"Kavi Shree ManBhatt Premanand Library,Naroda",Opp-Vijay Mill Asarwa MarathiSchool No-1-2 Naroda Road Ahmedabad-380018,23.048756,72.621683,library
150,"Surishwar Library,Vasana Branch Libarary",Chandranagar Road Opp-Anjali Char Rasta Vasna Ahmedabad,23.003902,72.554089,library
151,Atma Science & Technology Library,Opp-Maninagar Tenish Court Bh-Kamla Nehru Udhyan Uttamnagar Maninagar Ahmedabad,22.991631,72.607347,library
152,Vir Savarkar Muni.Library,Sport Compound Memco Ahmedabad,23.053361,72.632006,library
153,Sheth Maneklal Jethalal Sanchalit Library,Opp- Laliteshwar Mahadev Near-New Cotton Circle Ahmedabad-380026,23.006453,72.619803,library
154,dayanand Sarshwati Muni Library,,23.043754,72.605313,library
155,"Narayanbhai Ranchhodbhai Library,Kantodiya",,23.012024,72.596916,library
156,RA.B.GI.U Library,,23.031334,72.589348,library
157,Vasantbhai Rami Library,,23.017079,72.520289,library
158,"Kavi Dalpatram Library,Relif Road",,23.028567,72.591523,library
159,"Kanaiyalal Nathuram Library,Kubernagar",,23.061043,72.629647,library
160,"MakrantBhai desai Library,Bodakdev",,23.039651,72.520181,library
161,Kanaiya lal Maneklal Munsi Library,,23.008615,72.625849,library
162,Saijpur Library,,23.058453,72.637009,library
163,Sola Library,,23.056684,72.53992,library
164,Thakkarbapanagar Library,,23.051071000000004,72.64664500000002,library
165,"Chandrakant Library,Vijay Nagar",,23.062249,72.557276,library
166,"Kavi shree Rajendra shah Library,Himmat lal park",,23.027245,72.535835,library
167,"sureshBhai Ramkumar Joshi Library,Sarspur",,23.032047,72.61129300000002,library
168,"Reading room,Amaraywadi",,23.007979,72.627539,library
