ward_id,ward_name,health_centre_count,hospital_count,clinic_count,total_health_facilities,healthcare_gap,hospital_gap,health_centre_gap,healthcare_vulnerability,heat_exposure,healthcare_facilities_per_km2,area_km2,facility_density_gap,vulnerability_score,risk_category,cluster,final_priority_score,final_priority_category
43,Bhaipura Hatkeshwar,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.6673442794313293,39.43,1.4896154286044585,0.6713142068734123,0.528907132385549,0.5308221397156647,Moderate,0,0.5854309956019305,Moderate
1,Gota,1,1,0,2,0.3333333333333333,0.0,0.6666666666666667,0.6665308698280853,39.43,0.176384658289421,11.338854633934758,0.9442181163801424,0.5304154349140426,Moderate,1,0.5848616088796597,Moderate
22,India colony,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.6640286088440225,39.43,1.2435857454715973,1.608252593182911,0.6067143480733708,0.5291643044220112,Moderate,0,0.5831100261908156,Moderate
16,Shahibag,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.6491650230906675,39.43,1.3219178825960036,1.5129532827503382,0.5819417051511124,0.5217325115453337,Moderate,0,0.5727055161634672,Moderate
21,Dariyapur,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.6060658980864979,39.43,1.5490532875911616,1.2911111683640517,0.5101098301441631,0.500182949043249,Moderate,0,0.5425361286605485,Moderate
17,Shahpur,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.5640296689705413,39.43,1.7705871568703722,1.1295687943061383,0.4400494482842354,0.4791648344852706,Moderate,0,0.5131107682793788,Moderate
38,Gomtipur,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.5603505943915599,39.43,1.789976137375742,1.1173333310086306,0.4339176573192663,0.4773252971957799,Moderate,0,0.5105354160740919,Moderate
7,Ghatlodia,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.5424914813186323,39.43,1.884094913111474,1.0615176475887382,0.4041524688643871,0.4683957406593161,Moderate,0,0.4980340369230426,Moderate
15,Asarwa,0,1,0,1,0.6666666666666667,0.0,1.0,0.5201905541750292,39.43,1.211111862343324,0.8256875612341428,0.6169842569583821,0.4572452770875146,Moderate,1,0.48242338792252043,Moderate
30,Paldi,1,1,0,2,0.3333333333333333,0.0,0.6666666666666667,0.5053935131751728,39.43,1.0255898047899052,1.9500973885068067,0.6756558552919546,0.4498467565875864,Moderate,1,0.47206545922262094,Moderate
26,Bapu Nagar,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.4890029982122473,39.43,2.165982962387881,0.923368297318048,0.3150049970204123,0.4416514991061236,Moderate,0,0.4605920987485731,Moderate
4,Sabarmati,2,1,0,3,0.0,0.0,0.3333333333333333,0.4858389734771631,39.43,0.8651400983216747,3.46764646075224,0.7263982891286052,0.4400694867385815,Moderate,1,0.4583772814340141,Moderate
29,Jamalpur,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.475844602146403,39.43,2.235328630524139,0.8947230276073728,0.2930743369106718,0.4350723010732015,Moderate,0,0.4513812215024821,Moderate
14,Kuber Nagar,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.4049578819380842,39.43,2.6089066069154763,0.7666046744251265,0.1749298032301404,0.3996289409690421,Low,0,0.4017605173566589,Moderate
27,Saraspur-Rakhiyal,1,1,0,2,0.3333333333333333,0.0,0.6666666666666667,0.3431294807686471,39.43,1.8807326113605272,1.0634153881944943,0.4052158012810785,0.3687147403843235,Low,1,0.35848063653805295,Low
28,Khadia,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.3,39.43,3.162041990038321,0.6325026695726332,0.0,0.3471499999999999,Low,0,0.32828999999999997,Low
37,Mani Nagar,2,1,0,3,0.0,0.0,0.3333333333333333,0.2860489097838665,39.43,1.9180477159727325,1.564090389940356,0.3934148496397776,0.3401744548919332,Low,1,0.3185242368487065,Low
